transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry,stock_price,total_trade_amount
1,2023-01-02,4747,STK002,BUY,15,2.70805020110221,Retail,Monday,False,False,Low,Consumer,Retail,143.73284741052294,2155.992711157844
2,2023-01-02,4747,STK004,BUY,68,3.725693427236653,Retail,Monday,False,False,Low,Finance,Asset Management,41.72108686196776,2837.0339066138076
3,2023-01-02,227,STK006,BUY,49,3.8918202981106265,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,6694.048200413102
4,2023-01-02,4747,STK006,BUY,503,5.27469043591688,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,68716.4539756692
5,2023-01-02,3938,STK006,BUY,203,5.313205979041787,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,27732.485401711423
6,2023-01-02,1513,STK006,BUY,114,4.736198448394496,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,15573.908058103952
7,2023-01-02,4167,STK006,BUY,119,4.77912349311153,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,16256.974201003248
8,2023-01-02,1513,STK006,BUY,91,4.629862798578463,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,12431.80380076719
9,2023-01-02,4955,STK006,BUY,339,5.82600010738045,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,46311.88448857228
10,2023-01-02,4747,STK006,SELL,285,5.383347615732612,Retail,Monday,False,False,High,Energy,Oil & Gas,136.61322857985922,38934.77014525988
11,2023-01-02,4519,STK008,BUY,281,5.638354669333745,Institutional,Monday,False,False,High,Energy,Oil & Gas,154.59718014764877,43441.80762148931
12,2023-01-02,615,STK009,BUY,248,5.513428746164983,Retail,Monday,False,False,High,Technology,Hardware,190.64681446895423,47280.40998830065
13,2023-01-02,4747,STK009,BUY,468,5.5902404332570725,Retail,Monday,False,False,High,Technology,Hardware,190.64681446895423,89222.70917147057
14,2023-01-02,1157,STK010,BUY,382,5.945420608606575,Retail,Monday,False,False,High,Consumer,Retail,143.4826952916133,54810.38960139629
15,2023-01-02,511,STK010,BUY,279,5.631211781821365,Retail,Monday,False,False,High,Consumer,Retail,143.4826952916133,40031.67198636011
16,2023-01-02,4023,STK010,BUY,88,4.477336814478207,Retail,Monday,False,False,High,Consumer,Retail,143.4826952916133,12626.477185661972
17,2023-01-02,1109,STK012,BUY,113,4.727387818712341,Institutional,Monday,False,False,High,Technology,Hardware,30.01933522766273,3392.1848807258884
18,2023-01-02,3938,STK012,BUY,126,5.1029105702054265,Retail,Monday,False,False,High,Technology,Hardware,30.01933522766273,3782.436238685504
19,2023-01-02,4955,STK012,BUY,249,5.683579767338681,Retail,Monday,False,False,High,Technology,Hardware,30.01933522766273,7474.81447168802
20,2023-01-02,2988,STK012,BUY,244,5.497168225293202,Retail,Monday,False,False,High,Technology,Hardware,30.01933522766273,7324.717795549706
21,2023-01-02,4416,STK013,BUY,85,4.442651256490317,Retail,Monday,False,False,Mid,Energy,Utilities,158.54653403553775,13476.455393020708
22,2023-01-02,4946,STK013,BUY,144,4.969813299576001,Retail,Monday,False,False,Mid,Energy,Utilities,158.54653403553775,22830.700901117434
23,2023-01-02,3938,STK018,BUY,80,4.915078417198038,Retail,Monday,False,False,Mid,Technology,Software,105.07621768493824,8406.09741479506
24,2023-01-02,3394,STK018,BUY,70,4.248495242049359,Institutional,Monday,False,False,Mid,Technology,Software,105.07621768493824,7355.335237945677
25,2023-01-02,2319,STK020,BUY,33,3.49650756146648,Retail,Monday,False,False,Mid,Energy,Oil & Gas,96.96292498026584,3199.776524348773
26,2023-01-03,653,STK006,BUY,870,6.76849321164863,Retail,Tuesday,False,False,High,Energy,Oil & Gas,131.08143877163977,114040.85173132659
27,2023-01-03,3649,STK006,BUY,207,5.332718793265369,Retail,Tuesday,False,False,High,Energy,Oil & Gas,131.08143877163977,27133.857825729432
28,2023-01-03,1816,STK006,BUY,97,4.574710978503383,Retail,Tuesday,False,False,High,Energy,Oil & Gas,131.08143877163977,12714.899560849057
29,2023-01-03,1513,STK006,SELL,28,4.352469082431556,Retail,Tuesday,False,False,High,Energy,Oil & Gas,131.08143877163977,3670.2802856059134
30,2023-01-03,2650,STK006,BUY,356,5.87493073085203,Retail,Tuesday,False,False,High,Energy,Oil & Gas,131.08143877163977,46664.992202703754
31,2023-01-03,4716,STK009,BUY,83,4.418840607796598,Retail,Tuesday,False,False,High,Technology,Hardware,188.6422598715461,15657.307569338325
32,2023-01-03,3792,STK012,BUY,266,5.583496308781699,Institutional,Tuesday,False,False,High,Technology,Hardware,12.273065736691828,3264.6354859600265
33,2023-01-03,3588,STK012,BUY,113,4.727387818712341,Retail,Tuesday,False,False,High,Technology,Hardware,12.273065736691828,1386.8564282461766
34,2023-01-03,4955,STK013,BUY,343,5.73763624741271,Retail,Tuesday,False,False,Mid,Energy,Utilities,157.96263594264707,54181.18412832794
35,2023-01-03,4747,STK013,BUY,73,5.460988784418869,Retail,Tuesday,False,False,Mid,Energy,Utilities,157.96263594264707,11531.272423813236
36,2023-01-03,4747,STK013,BUY,74,5.357953264443911,Retail,Tuesday,False,False,Mid,Energy,Utilities,157.96263594264707,11689.235059755883
