transaction_id,timestamp,customer_id,stock_ticker,quantity,average_trade_size,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_price,total_trade_amount,transaction_type_BUY,transaction_type_SELL,customer_account_type_Institutional,customer_account_type_Retail,stock_sector_Consumer,stock_sector_Energy,stock_sector_Finance,stock_sector_Healthcare,stock_sector_Technology,stock_industry_Asset Management,stock_industry_Hardware,stock_industry_Oil & Gas,stock_industry_Pharmaceuticals,stock_industry_Renewables,stock_industry_Retail,stock_industry_Software,stock_industry_Utilities
1,2023-01-02,4747,1,15,2.70805020110221,0,0,0,Low,143.73284741052294,2155.992711157844,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
2,2023-01-02,4747,3,68,3.725693427236653,0,0,0,Low,41.72108686196776,2837.033906613808,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
3,2023-01-02,227,5,49,3.8918202981106265,0,0,0,High,136.61322857985922,6694.048200413102,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
5,2023-01-02,3938,5,203,5.313205979041787,0,0,0,High,136.61322857985922,27732.485401711423,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
6,2023-01-02,1513,5,114,4.736198448394496,0,0,0,High,136.61322857985922,15573.908058103952,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
7,2023-01-02,4167,5,119,4.77912349311153,0,0,0,High,136.61322857985922,16256.974201003248,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
8,2023-01-02,1513,5,91,4.629862798578463,0,0,0,High,136.61322857985922,12431.80380076719,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
9,2023-01-02,4955,5,339,5.82600010738045,0,0,0,High,136.61322857985922,46311.88448857228,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
10,2023-01-02,4747,5,285,5.383347615732612,0,0,0,High,136.61322857985922,38934.77014525988,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
11,2023-01-02,4519,7,281,5.638354669333745,0,0,0,High,154.59718014764877,43441.80762148931,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
12,2023-01-02,615,8,248,5.513428746164983,0,0,0,High,190.64681446895423,47280.40998830065,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
13,2023-01-02,4747,8,468,5.5902404332570725,0,0,0,High,190.64681446895423,89222.70917147057,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
14,2023-01-02,1157,9,382,5.945420608606575,0,0,0,High,143.4826952916133,54810.38960139629,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
16,2023-01-02,4023,9,88,4.477336814478207,0,0,0,High,143.4826952916133,12626.477185661972,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
17,2023-01-02,1109,11,113,4.727387818712341,0,0,0,High,30.01933522766273,3392.1848807258884,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
18,2023-01-02,3938,11,126,5.1029105702054265,0,0,0,High,30.01933522766273,3782.436238685504,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
19,2023-01-02,4955,11,249,5.683579767338681,0,0,0,High,30.01933522766273,7474.81447168802,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
20,2023-01-02,2988,11,244,5.497168225293202,0,0,0,High,30.01933522766273,7324.717795549706,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
21,2023-01-02,4416,12,85,4.442651256490317,0,0,0,Mid,158.54653403553775,13476.455393020708,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
22,2023-01-02,4946,12,144,4.969813299576001,0,0,0,Mid,158.54653403553775,22830.70090111744,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
23,2023-01-02,3938,17,80,4.915078417198038,0,0,0,Mid,105.07621768493824,8406.09741479506,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
24,2023-01-02,3394,17,70,4.248495242049359,0,0,0,Mid,105.07621768493824,7355.335237945677,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
25,2023-01-02,2319,19,33,3.49650756146648,0,0,0,Mid,96.96292498026584,3199.776524348773,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
26,2023-01-03,653,5,870,6.76849321164863,1,0,0,High,131.08143877163977,114040.8517313266,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
27,2023-01-03,3649,5,207,5.332718793265369,1,0,0,High,131.08143877163977,27133.857825729432,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
28,2023-01-03,1816,5,97,4.574710978503383,1,0,0,High,131.08143877163977,12714.899560849057,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
29,2023-01-03,1513,5,28,4.352469082431556,1,0,0,High,131.08143877163977,3670.2802856059134,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
31,2023-01-03,4716,8,83,4.418840607796598,1,0,0,High,188.6422598715461,15657.307569338323,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
33,2023-01-03,3588,11,113,4.727387818712341,1,0,0,High,12.273065736691828,1386.8564282461766,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
35,2023-01-03,4747,12,73,5.460988784418869,1,0,0,Mid,157.96263594264707,11531.272423813236,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
37,2023-01-03,4747,12,72,5.271716684750857,1,0,0,Mid,157.96263594264707,11373.309787870588,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
38,2023-01-03,4519,17,355,5.762051382780177,1,0,0,Mid,105.14362866951058,37325.988177676256,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
39,2023-01-03,182,17,511,6.236369590203704,1,0,0,Mid,105.14362866951058,53728.39425011991,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
41,2023-01-03,4526,19,258,5.552959584921617,1,0,0,Mid,58.30799966421868,15043.46391336842,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
42,2023-01-04,182,5,370,6.0879104453762345,2,0,0,High,132.287592694745,48946.40929705565,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
43,2023-01-04,4519,5,146,5.563255239519225,2,0,0,High,132.287592694745,19313.98853343277,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
44,2023-01-04,74,5,466,6.144185634125646,2,0,0,High,132.287592694745,61646.01819575117,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
45,2023-01-04,653,5,246,6.324358962381311,2,0,0,High,132.287592694745,32542.74780290727,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
46,2023-01-04,1513,5,355,4.990432586778736,2,0,0,High,132.287592694745,46962.09540663448,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
47,2023-01-04,193,5,409,6.013715156042802,2,0,0,High,132.287592694745,54105.62541215071,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
48,2023-01-04,2352,5,288,5.662960480135946,2,0,0,High,132.287592694745,38098.82669608656,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
49,2023-01-04,4747,5,218,5.284877454181334,2,0,0,High,132.287592694745,28838.69520745441,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
50,2023-01-04,1094,5,823,6.71295620067707,2,0,0,High,132.287592694745,108872.68878777511,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
51,2023-01-04,193,5,409,6.013715156042802,2,0,0,High,132.287592694745,54105.62541215071,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
52,2023-01-04,193,5,200,5.8269730852114,2,0,0,High,132.287592694745,26457.518538949,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
53,2023-01-04,3961,6,288,5.662960480135946,2,0,0,Mid,185.1925709726169,53335.46044011367,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
54,2023-01-04,4150,7,26,3.258096538021482,2,0,0,High,153.5687720563006,3992.788073463815,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
55,2023-01-04,4955,8,469,5.857933154483459,2,0,0,High,199.05491264864767,93356.75403221576,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
56,2023-01-04,193,8,88,5.6222108209623896,2,0,0,High,199.05491264864767,17516.832313080995,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
57,2023-01-04,192,9,316,5.755742213586912,2,0,0,High,144.473237172213,45653.54294641931,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
58,2023-01-04,3018,9,208,5.337538079701318,2,0,0,High,144.473237172213,30050.433331820303,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
59,2023-01-04,4647,10,83,4.418840607796598,2,0,0,Mid,65.54159966888932,5439.952772517813,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
60,2023-01-04,4955,11,200,5.768320995793772,2,0,0,High,28.336210512820003,5667.242102564001,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
61,2023-01-04,4747,11,409,5.3867860145356445,2,0,0,High,28.336210512820003,11589.510099743382,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
