transaction_id,timestamp,customer_id,stock_ticker,quantity,average_trade_size,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_price,total_trade_amount,transaction_type,customer_account_type,stock_sector,stock_industry
1.0,2023-01-02,4747.0,1.0,15.0,2.70805020110221,0.0,0.0,0.0,Low,143.73284741052294,2155.992711157844,BUY,Retail,Consumer,Retail
2.0,2023-01-02,4747.0,3.0,68.0,3.725693427236653,0.0,0.0,0.0,Low,41.72108686196776,2837.033906613808,BUY,Retail,Finance,Asset Management
3.0,2023-01-02,227.0,5.0,49.0,3.8918202981106265,0.0,0.0,0.0,High,136.61322857985922,6694.048200413102,BUY,Retail,Energy,Oil & Gas
5.0,2023-01-02,3938.0,5.0,203.0,5.313205979041787,0.0,0.0,0.0,High,136.61322857985922,27732.485401711423,BUY,Retail,Energy,Oil & Gas
6.0,2023-01-02,1513.0,5.0,114.0,4.736198448394496,0.0,0.0,0.0,High,136.61322857985922,15573.908058103952,BUY,Retail,Energy,Oil & Gas
7.0,2023-01-02,4167.0,5.0,119.0,4.77912349311153,0.0,0.0,0.0,High,136.61322857985922,16256.974201003248,BUY,Retail,Energy,Oil & Gas
8.0,2023-01-02,1513.0,5.0,91.0,4.629862798578463,0.0,0.0,0.0,High,136.61322857985922,12431.80380076719,BUY,Retail,Energy,Oil & Gas
9.0,2023-01-02,4955.0,5.0,339.0,5.82600010738045,0.0,0.0,0.0,High,136.61322857985922,46311.88448857228,BUY,Retail,Energy,Oil & Gas
10.0,2023-01-02,4747.0,5.0,285.0,5.383347615732612,0.0,0.0,0.0,High,136.61322857985922,38934.77014525988,SELL,Retail,Energy,Oil & Gas
11.0,2023-01-02,4519.0,7.0,281.0,5.638354669333745,0.0,0.0,0.0,High,154.59718014764877,43441.80762148931,BUY,Institutional,Energy,Oil & Gas
12.0,2023-01-02,615.0,8.0,248.0,5.513428746164983,0.0,0.0,0.0,High,190.64681446895423,47280.40998830065,BUY,Retail,Technology,Hardware
13.0,2023-01-02,4747.0,8.0,468.0,5.5902404332570725,0.0,0.0,0.0,High,190.64681446895423,89222.70917147057,BUY,Retail,Technology,Hardware
14.0,2023-01-02,1157.0,9.0,382.0,5.945420608606575,0.0,0.0,0.0,High,143.4826952916133,54810.38960139629,BUY,Retail,Consumer,Retail
16.0,2023-01-02,4023.0,9.0,88.0,4.477336814478207,0.0,0.0,0.0,High,143.4826952916133,12626.477185661972,BUY,Retail,Consumer,Retail
17.0,2023-01-02,1109.0,11.0,113.0,4.727387818712341,0.0,0.0,0.0,High,30.01933522766273,3392.1848807258884,BUY,Institutional,Technology,Hardware
18.0,2023-01-02,3938.0,11.0,126.0,5.1029105702054265,0.0,0.0,0.0,High,30.01933522766273,3782.436238685504,BUY,Retail,Technology,Hardware
19.0,2023-01-02,4955.0,11.0,249.0,5.683579767338681,0.0,0.0,0.0,High,30.01933522766273,7474.81447168802,BUY,Retail,Technology,Hardware
20.0,2023-01-02,2988.0,11.0,244.0,5.497168225293202,0.0,0.0,0.0,High,30.01933522766273,7324.717795549706,BUY,Retail,Technology,Hardware
21.0,2023-01-02,4416.0,12.0,85.0,4.442651256490317,0.0,0.0,0.0,Mid,158.54653403553775,13476.455393020708,BUY,Retail,Energy,Utilities
22.0,2023-01-02,4946.0,12.0,144.0,4.969813299576001,0.0,0.0,0.0,Mid,158.54653403553775,22830.70090111744,BUY,Retail,Energy,Utilities
23.0,2023-01-02,3938.0,17.0,80.0,4.915078417198038,0.0,0.0,0.0,Mid,105.07621768493824,8406.09741479506,BUY,Retail,Technology,Software
24.0,2023-01-02,3394.0,17.0,70.0,4.248495242049359,0.0,0.0,0.0,Mid,105.07621768493824,7355.335237945677,BUY,Institutional,Technology,Software
25.0,2023-01-02,2319.0,19.0,33.0,3.49650756146648,0.0,0.0,0.0,Mid,96.96292498026584,3199.776524348773,BUY,Retail,Energy,Oil & Gas
26.0,2023-01-03,653.0,5.0,870.0,6.76849321164863,1.0,0.0,0.0,High,131.08143877163977,114040.8517313266,BUY,Retail,Energy,Oil & Gas
27.0,2023-01-03,3649.0,5.0,207.0,5.332718793265369,1.0,0.0,0.0,High,131.08143877163977,27133.857825729432,BUY,Retail,Energy,Oil & Gas
28.0,2023-01-03,1816.0,5.0,97.0,4.574710978503383,1.0,0.0,0.0,High,131.08143877163977,12714.899560849057,BUY,Retail,Energy,Oil & Gas
29.0,2023-01-03,1513.0,5.0,28.0,4.352469082431556,1.0,0.0,0.0,High,131.08143877163977,3670.2802856059134,SELL,Retail,Energy,Oil & Gas
31.0,2023-01-03,4716.0,8.0,83.0,4.418840607796598,1.0,0.0,0.0,High,188.6422598715461,15657.307569338323,BUY,Retail,Technology,Hardware
33.0,2023-01-03,3588.0,11.0,113.0,4.727387818712341,1.0,0.0,0.0,High,12.273065736691828,1386.8564282461766,BUY,Retail,Technology,Hardware
35.0,2023-01-03,4747.0,12.0,73.0,5.460988784418869,1.0,0.0,0.0,Mid,157.96263594264707,11531.272423813236,BUY,Retail,Energy,Utilities
37.0,2023-01-03,4747.0,12.0,72.0,5.271716684750857,1.0,0.0,0.0,Mid,157.96263594264707,11373.309787870588,BUY,Retail,Energy,Utilities
38.0,2023-01-03,4519.0,17.0,355.0,5.762051382780177,1.0,0.0,0.0,Mid,105.14362866951058,37325.988177676256,BUY,Institutional,Technology,Software
39.0,2023-01-03,182.0,17.0,511.0,6.236369590203704,1.0,0.0,0.0,Mid,105.14362866951058,53728.39425011991,BUY,Retail,Technology,Software
41.0,2023-01-03,4526.0,19.0,258.0,5.552959584921617,1.0,0.0,0.0,Mid,58.30799966421868,15043.46391336842,BUY,Retail,Energy,Oil & Gas
42.0,2023-01-04,182.0,5.0,370.0,6.0879104453762345,2.0,0.0,0.0,High,132.287592694745,48946.40929705565,BUY,Retail,Energy,Oil & Gas
43.0,2023-01-04,4519.0,5.0,146.0,5.563255239519225,2.0,0.0,0.0,High,132.287592694745,19313.98853343277,BUY,Institutional,Energy,Oil & Gas
44.0,2023-01-04,74.0,5.0,466.0,6.144185634125646,2.0,0.0,0.0,High,132.287592694745,61646.01819575117,BUY,Retail,Energy,Oil & Gas
45.0,2023-01-04,653.0,5.0,246.0,6.324358962381311,2.0,0.0,0.0,High,132.287592694745,32542.74780290727,BUY,Retail,Energy,Oil & Gas
46.0,2023-01-04,1513.0,5.0,355.0,4.990432586778736,2.0,0.0,0.0,High,132.287592694745,46962.09540663448,BUY,Retail,Energy,Oil & Gas
